select,name,address,rating,rating_count,type,lat,lng,price_level,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,website
,Silver In the City,"434 Massachusetts Ave, Indianapolis, IN 46204, United States",4.7,414,gift shop,39.7733855,-86.15170619999999,,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 6:00 PM,http://www.silverinthecity.com/
,Global Gifts,"446 Massachusetts Ave, Indianapolis, IN 46204, United States",4.7,65,gift shop,39.77354699999999,-86.151477,,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,11:00 AM - 5:00 PM,https://www.globalgiftsft.com/
,Indianapolis Zoo Gift Shop,"1200 W Washington St, Indianapolis, IN 46222, United States",4.5,61,gift shop,39.7668264,-86.177279,,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,https://www.muzemerch.com/partner/indianapolis-zoo
,SHE. EVENT INDY CO - SHEXperience Shoppes,"CIRCLE CENTRE MALL SHEXPERIENCE SHOPPES, 49 W Maryland St D16A, Indianapolis, IN 46204, United States",4.8,59,mall,39.7656187,-86.1593644,,Closed,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,12:00 - 6:00 PM,https://shexperience.org/
,Idle Park,"800 Virginia Ave, Indianapolis, IN 46203, United States",4.8,120,park,39.7556694,-86.14408949999999,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,http://www.idleindy.com/
,White River State Park,"801 W Washington St, Indianapolis, IN 46204, United States",4.7,4461,state park,39.7665464,-86.17078579999999,,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,https://www.whiteriverstatepark.org/
,Military Park,"601 W New York St, Indianapolis, IN 46202, United States",4.6,1591,state park,39.77059,-86.1687006,,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,https://www.whiteriverstatepark.org/
,Wheel Fun Rentals - White River State Park,"801 W Washington St, Indianapolis, IN 46204, United States",4.5,66,state park,39.7674416,-86.17023619999999,,12:00 - 8:45 PM,12:00 - 8:45 PM,12:00 - 8:45 PM,12:00 - 8:45 PM,12:00 - 8:45 PM,10:00 AM - 8:45 PM,10:00 AM - 8:45 PM,http://wheelfunrentals.com/in/indianapolis/white-river-state-park/
,Simon Skjodt International Orangutan Center,"Simon Skjodt International Orangutan Center, 1200 W Washington St, Indianapolis, IN 46222, United States",4.8,171,zoo,39.768005,-86.18063470000001,,,,,,,,,https://www.indianapoliszoo.com/exhibits/orangutan-center/
,Indianapolis Zoo,"1200 W Washington St, Indianapolis, IN 46222, United States",4.5,16732,zoo,39.76757459999999,-86.1796262,,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,http://www.indianapoliszoo.com/
,Victory Field,"501 W Maryland St, Indianapolis, IN 46225, United States",4.8,4525,stadium,39.7647442,-86.16867429999999,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,http://www.indyindians.com/
,Lucas Oil Stadium,"500 S Capitol Ave, Indianapolis, IN 46225, United States",4.7,12370,stadium,39.76010069999999,-86.16388769999999,,,,,,,,,http://www.lucasoilstadium.com/
,Gainbridge Fieldhouse,"125 S Pennsylvania St, Indianapolis, IN 46204, United States",4.6,9593,stadium,39.7640434,-86.1555367,,,,,,,,,http://www.gainbridgefieldhouse.com/
,Michael A. Carroll Track and Soccer Stadium,"1001 W New York St, Indianapolis, IN 46202, United States",4.4,279,stadium,39.7711263,-86.17788000000002,,,,,,,,,https://track-soccer.iupui.edu/
,1933 Lounge,"127 Illinois St, Indianapolis, IN 46225, United States",4.6,329,bar,39.7648203,-86.15982079999999,,4:00 - 10:30 PM,4:00 - 10:30 PM,4:00 - 10:30 PM,4:00 - 10:30 PM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,4:00 - 9:30 PM,https://www.stelmos.com/1933-lounge/
,The Whistle Stop Inn,"375 Illinois St, Indianapolis, IN 46225, United States",4.6,260,bar,39.76165160000001,-86.1599258,1,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 1:00 AM,11:00 AM - 3:00 AM,12:00 PM - 3:00 AM,Closed,http://thewhistlestopin.com/
,Mass Avenue Pub,"745 Massachusetts Ave, Indianapolis, IN 46204, United States",4.5,688,bar,39.777017,-86.145822,1,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,12:00 PM - 3:00 AM,http://massavenuepub.com/
,Dugout Bar,"621 Virginia Ave, Indianapolis, IN 46203, United States",4.5,685,bar,39.75823889999999,-86.1464361,1,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,Closed,http://thedugoutindy.com/
,Kilroy's Bar & Grill,"201 S Meridian St, Indianapolis, IN 46225, United States",4.3,3291,bar,39.76407510000001,-86.15802029999999,2,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 12:00 AM,http://www.kilroysindy.com/
