name,address,rating,rating_count,types,query,lat,lng,price_level,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,website
Dairy Queen (Treat),"1024 Fletcher Ave, Indianapolis, IN 46203, United States",4.1,396,"food, point_of_interest, store, establishment",ice cream,39.75800580000001,-86.1400142,1,12:00 - 9:00 PM,12:00 - 9:00 PM,12:00 - 9:00 PM,12:00 - 9:00 PM,12:00 - 9:00 PM,12:00 - 9:00 PM,12:00 - 9:00 PM,https://www.dairyqueen.com/us-en/Locator/Detail/?localechange=1&store-id=2762&y_source=1_ODk5NjM5OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Kilwins Indianapolis,"530 Massachusetts Ave #110, Indianapolis, IN 46204, United States",4.6,201,"food, point_of_interest, store, establishment",ice cream,39.7745596,-86.1500066,2,Closed,Closed,Closed,5:00 - 9:00 PM,4:00 - 10:00 PM,1:00 - 10:00 PM,1:00 - 9:00 PM,http://www.kilwins.com/stores/kilwins-indianapolis
Lick Ice Cream Indy,"906 Carrollton Ave suite 360 Indianapolis IN 46204, Indianapolis, IN 46201, United States",4.6,117,"food, point_of_interest, store, establishment",ice cream,39.7803318,-86.1438257,,12:00 - 9:00 PM,12:00 - 9:00 PM,12:00 - 9:00 PM,12:00 - 9:00 PM,12:00 - 10:00 PM,12:00 - 10:00 PM,12:00 - 9:00 PM,https://www.facebook.com/LickIceCreamIndy/
Nicey Treat,"655 Virginia Ave, Indianapolis, IN 46203, United States",4.6,46,"food, point_of_interest, establishment",ice cream,39.7575334,-86.14564949999999,,Closed,Closed,4:00 - 9:00 PM,4:00 - 9:00 PM,4:00 - 9:00 PM,12:00 - 9:00 PM,12:00 - 9:00 PM,http://niceytreat.com/
Sub Zero Nitrogen Ice Cream,"427 Massachusetts Ave, Indianapolis, IN 46204, United States",4.4,1182,"restaurant, food, point_of_interest, store, establishment",ice cream,39.7731265,-86.15133300000001,2,1:00 - 9:00 PM,1:00 - 9:00 PM,1:00 - 9:00 PM,1:00 - 9:00 PM,1:00 - 10:00 PM,12:00 - 10:00 PM,12:00 - 8:00 PM,https://www.subzeroicecream.com/
Nestle Tollhouse Cafe by Chip,"49 W Maryland St Suite d20A, Indianapolis, IN 46204, United States",4.2,68,"cafe, bakery, food, point_of_interest, store, establishment",ice cream,39.7663889,-86.1592483,1,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,12:00 - 6:00 PM,http://www.nestlecafe.com/
South Bend Chocolate Co,"30 Monument Cir, Indianapolis, IN 46204, United States",4.1,409,"food, point_of_interest, store, establishment",ice cream,39.76795939999999,-86.1584574,,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 8:00 PM,https://sbchocolate.com/
T-swirl crepe,"36 E Washington St, Indianapolis, IN 46204, United States",3.9,70,"food, point_of_interest, store, establishment",ice cream,39.7672262,-86.1568381,,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 9:00 PM,http://t-swirlcrepe.com/
INDYO FROZEN YOGURT,"49 W Maryland St, Indianapolis, IN 46204, United States",3.5,95,"cafe, restaurant, food, point_of_interest, store, establishment",ice cream,39.7658083,-86.1592691,1,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,12:00 - 6:00 PM,http://www.indyofrozenyogurt.com/
Tuggle's Gifts & Goods,"1029 Virginia Ave, Indianapolis, IN 46203, United States",5.0,12,"point_of_interest, store, establishment",gift shop,39.7532757,-86.1413036,,Closed,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,10:00 AM - 7:00 PM,11:00 AM - 6:00 PM,http://tugglesgiftsandgoods.com/
