name,address,rating,rating_count,types,query,lat,lng,price_level,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,website
Gainbridge Fieldhouse,"125 S Pennsylvania St, Indianapolis, IN 46204, United States",4.6,9593,"point_of_interest, establishment",stadium,39.7640434,-86.1555367,,,,,,,,,http://www.gainbridgefieldhouse.com/
Michael A. Carroll Track and Soccer Stadium,"1001 W New York St, Indianapolis, IN 46202, United States",4.4,280,"stadium, point_of_interest, establishment",stadium,39.7711263,-86.17788000000002,,,,,,,,,https://track-soccer.iupui.edu/
Stadium Lofts,"1510 Stadium Way, Indianapolis, IN 46202, United States",3.6,131,"point_of_interest, establishment",stadium,39.7871098,-86.1899751,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,10:00 AM - 4:00 PM,Closed,https://www.coreredevelopment.com/stadium-lofts
1933 Lounge,"127 Illinois St, Indianapolis, IN 46225, United States",4.6,329,"bar, night_club, point_of_interest, establishment",bar,39.7648203,-86.15982079999999,,4:00 - 10:30 PM,4:00 - 10:30 PM,4:00 - 10:30 PM,4:00 - 10:30 PM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,4:00 - 9:30 PM,https://www.stelmos.com/1933-lounge/
The Whistle Stop Inn,"375 Illinois St, Indianapolis, IN 46225, United States",4.6,260,"bar, restaurant, food, point_of_interest, establishment",bar,39.76165160000001,-86.1599258,1,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 1:00 AM,11:00 AM - 3:00 AM,12:00 PM - 3:00 AM,Closed,http://thewhistlestopin.com/
Burnside Inn,"314 Massachusetts Ave, Indianapolis, IN 46204, United States",4.6,237,"bar, point_of_interest, establishment",bar,39.77183479999999,-86.1538999,2,Closed,Closed,5:00 PM - 12:00 AM,5:00 PM - 1:00 AM,5:00 PM - 3:00 AM,2:00 PM - 3:00 AM,4:00 PM - 12:00 AM,https://www.facebook.com/pg/BurnsideInnLounge
Mass Avenue Pub,"745 Massachusetts Ave, Indianapolis, IN 46204, United States",4.5,688,"bar, restaurant, food, point_of_interest, establishment",bar,39.777017,-86.145822,1,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,12:00 PM - 3:00 AM,http://massavenuepub.com/
Dugout Bar,"621 Virginia Ave, Indianapolis, IN 46203, United States",4.5,685,"bar, restaurant, food, point_of_interest, establishment",bar,39.75823889999999,-86.1464361,1,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,Closed,http://thedugoutindy.com/
Plat 99,"333 Delaware St, Indianapolis, IN 46204, United States",4.5,231,"night_club, bar, food, point_of_interest, establishment",bar,39.76176279999999,-86.1543351,2,5:00 - 10:00 PM,5:00 - 10:00 PM,5:00 - 10:00 PM,5:00 - 10:00 PM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,5:00 - 10:00 PM,https://www.thealexander.com/dining/plat-99
Kilroy's Bar & Grill,"201 S Meridian St, Indianapolis, IN 46225, United States",4.3,3292,"bar, restaurant, food, point_of_interest, establishment",bar,39.76407510000001,-86.15802029999999,2,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 12:00 AM,http://www.kilroysindy.com/
Loughmiller's Pub & Eatery,"301 W Washington St, Indianapolis, IN 46204, United States",4.3,1038,"bar, restaurant, food, point_of_interest, establishment",bar,39.76694490000001,-86.1637921,2,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,12:00 PM - 12:00 AM,Closed,http://www.loughmillerspub.com/
Brothers Bar & Grill,"255 S Meridian St, Indianapolis, IN 46225, United States",4.2,1539,"bar, restaurant, food, point_of_interest, establishment",bar,39.7629003,-86.15804680000001,1,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,11:00 AM - 12:00 AM,http://www.brothersbar.com/
Empire Street Bar & Grille,"419 S West St, Indianapolis, IN 46225, United States",4.2,37,"bar, restaurant, food, point_of_interest, establishment",bar,39.761071,-86.16700940000001,,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,4:00 - 11:00 PM,Closed,http://www.empirestreetbar.com/
Living Room Lounge,"934 N Pennsylvania St, Indianapolis, IN 46204, United States",4.1,1420,"night_club, bar, restaurant, food, point_of_interest, establishment",bar,39.7801998,-86.1559357,1,10:00 AM - 3:00 AM,10:00 AM - 3:00 AM,10:00 AM - 3:00 AM,10:00 AM - 3:00 AM,10:00 AM - 3:00 AM,10:00 AM - 3:00 AM,10:00 AM - 3:00 AM,http://do317.com/venues/the-living-room-lounge
Wild Beaver Saloon,"20 E Maryland St, Indianapolis, IN 46204, United States",4.1,348,"bar, point_of_interest, establishment",bar,39.7657434,-86.15735160000001,1,Closed,Closed,5:00 PM - 3:00 AM,5:00 PM - 3:00 AM,5:00 PM - 3:00 AM,12:00 PM - 3:00 AM,5:00 PM - 3:00 AM,https://www.thewildbeaversaloon.com/
Taps and Dolls,"247 S Meridian St, Indianapolis, IN 46225, United States",4.0,861,"bar, restaurant, food, point_of_interest, establishment",bar,39.7630856,-86.1578842,2,6:00 PM - 3:00 AM,6:00 PM - 3:00 AM,6:00 PM - 3:00 AM,6:00 PM - 3:00 AM,6:00 PM - 3:00 AM,6:00 PM - 3:00 AM,6:00 PM - 3:00 AM,http://www.tapsanddolls.com/
Tiki Bob's,"231 S Meridian St, Indianapolis, IN 46225, United States",4.0,488,"bar, point_of_interest, establishment",bar,39.763402,-86.15796979999999,2,Closed,10:00 PM - 3:00 AM,10:00 PM - 3:00 AM,10:00 PM - 3:00 AM,8:00 PM - 3:00 AM,8:00 PM - 3:00 AM,10:00 PM - 3:00 AM,https://sc8202.wixsite.com/website-2
Indianapolis Fire Fighters Museum,"748 Massachusetts Ave, Indianapolis, IN 46204, United States",4.8,139,"museum, tourist_attraction, point_of_interest, establishment",museum,39.7774843,-86.14573229999999,,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 4:00 PM,Closed,Closed,http://l416.com/
Kurt Vonnegut Museum & Library,"543 Indiana Ave, Indianapolis, IN 46202, United States",4.8,92,"tourist_attraction, art_gallery, museum, library, store, point_of_interest, establishment",museum,39.77550799999999,-86.16627,,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,Closed,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 5:00 PM,http://www.vonnegutlibrary.org/
IPS Crispus Attucks Museum,"1140 Doctor M.L.K. Jr St, Indianapolis, IN 46202, United States",4.8,43,"tourist_attraction, museum, point_of_interest, establishment",museum,39.7829242,-86.169851,,Closed,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,https://facebook.com/crispus.attucks.549
Indiana War Memorial & Museum,"55 E Michigan St, Indianapolis, IN 46204, United States",4.7,2372,"tourist_attraction, park, point_of_interest, establishment",museum,39.7733607,-86.15695079999999,,Closed,Closed,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,https://www.indianawarmemorials.org/
Rhythm! Discovery Center,"Claypool Court Building, 110 W Washington St A, Indianapolis, IN 46204, United States",4.7,284,"museum, tourist_attraction, electronics_store, home_goods_store, store, point_of_interest, establishment",museum,39.767311,-86.16007429999999,,10:00 AM - 5:00 PM,Closed,Closed,Closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,12:00 - 5:00 PM,http://rhythmdiscoverycenter.org/
James Whitcomb Riley Museum Home & Visitor Center,"528 Lockerbie St, Indianapolis, IN 46202, United States",4.7,75,"museum, tourist_attraction, point_of_interest, establishment",museum,39.77222219999999,-86.1477778,,Closed,Closed,Closed,10:00 AM - 3:30 PM,10:00 AM - 3:30 PM,10:00 AM - 3:30 PM,Closed,http://rileymuseumhome.org/
Indiana State Museum,"650 W Washington St, Indianapolis, IN 46204, United States",4.6,3335,"museum, tourist_attraction, store, point_of_interest, establishment",museum,39.76839189999999,-86.1695013,,Closed,Closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,http://www.indianamuseum.org/
Eiteljorg Museum,"500 W Washington St, Indianapolis, IN 46204, United States",4.6,1657,"tourist_attraction, museum, point_of_interest, establishment",museum,39.76857539999999,-86.16779149999999,,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,12:00 - 5:00 PM,http://www.eiteljorg.org/
Eugene and Marilyn Glick Indiana History Center,"450 W Ohio St, Indianapolis, IN 46202, United States",4.5,18,"tourist_attraction, museum, library, point_of_interest, establishment",museum,39.770259,-86.16587659999999,,Closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,http://www.indianahistory.org/
Masonic Library and Museum of Indiana,"525 N Illinois St, Indianapolis, IN 46204, United States",4.5,8,"museum, point_of_interest, establishment",museum,39.7752165,-86.1594137,,,,,,,,,http://mlmindiana.org/
NCAA Hall of Champions,"White River State Park, 700 W Washington St, Indianapolis, IN 46204, United States",4.4,418,"museum, store, point_of_interest, establishment",museum,39.7680704,-86.1714803,,Closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,12:00 - 5:00 PM,http://www.ncaahallofchampions.org/
CityWay Gallery,"216 E South St, Indianapolis, IN 46204, United States",3.6,22,"art_gallery, tourist_attraction, point_of_interest, establishment",museum,39.76175110000001,-86.1537171,,9:00 PM - 12:00 AM,12:00 AM - 7:00 PM,12:00 AM - 7:00 PM,12:00 AM - 7:00 PM,12:00 AM - 7:00 PM,12:00 AM - 7:00 PM,12:00 AM - 7:00 PM,https://www.cityway.com/artgallery
The Escape Room Indianapolis,"200 S Meridian St STE 220, Indianapolis, IN 46225, United States",4.8,1863,"tourist_attraction, point_of_interest, establishment",tourist,39.7639469,-86.1584453,,1:00 - 10:00 PM,10:30 AM - 10:00 PM,10:30 AM - 10:00 PM,10:30 AM - 10:00 PM,10:30 AM - 1:30 AM,8:30 AM - 1:30 AM,1:00 - 10:00 PM,https://escaperoomindy.com/
The Indianapolis Cultural Trail,"132 W Walnut St, Indianapolis, IN 46204, United States",4.8,40,"tourist_attraction, point_of_interest, establishment",tourist,39.77716230000001,-86.1609596,,,,,,,,,http://indyculturaltrail.org/
Soldiers & Sailors Monument,"1 Monument Cir, Indianapolis, IN 46204, United States",4.7,8028,"tourist_attraction, point_of_interest, establishment",tourist,39.7685459,-86.1580437,,Closed,Closed,Closed,Closed,10:30 AM - 5:30 PM,10:30 AM - 5:30 PM,10:30 AM - 5:30 PM,http://www.in.gov/iwm
Indianapolis Canal Walk,"Canal Walk, Indianapolis, IN 46202, United States",4.7,2288,"park, tourist_attraction, point_of_interest, establishment",tourist,39.7752036,-86.165168,,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,https://www.whiteriverstatepark.org/
Indiana Historical Society,"450 W Ohio St, Indianapolis, IN 46202, United States",4.7,842,"tourist_attraction, museum, point_of_interest, establishment",tourist,39.77023459999999,-86.16554140000001,,Closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,http://www.indianahistory.org/
Indiana Statehouse,"200 W Washington St, Indianapolis, IN 46204, United States",4.6,224,"tourist_attraction, local_government_office, point_of_interest, establishment",tourist,39.7687475,-86.162642,,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,10:00 AM - 2:00 PM,Closed,https://www.in.gov/idoa/2371.htm
Catacombs,"222 E Market St, Indianapolis, IN 46204, United States",3.8,79,"tourist_attraction, point_of_interest, establishment",tourist,39.7687329,-86.1534198,,,,,,,,,https://www.indianalandmarks.org/tours-events/ongoing-tours-events/city-market-catacombs-tour/
